MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57620.84868782,57620.844299485085,1966.3210299220839,131128,-0.41921672224998474,1755.3214559463001,1097.6593415765274,2163.2392431482117,2180.0412224394586,2122.6926175289464,2180.0412224394586,23.68543815612793,57620.844299485085,0,-0.028951862826943398,2180.0412224394586
57620.86912142,57620.8647317902,1954.2765677048171,131129,-0.49600231647491455,1742.9964156671476,1097.721354018163,2156.27146122485,2172.846990686507,2115.0894679938865,2172.846990686507,23.690940856933594,57620.8647317902,0,-0.03453828766942024,2172.846990686507
57620.88955512,57620.88516419582,1695.7558482261845,131130,nan,1489.7981615279346,1097.1900227567123,1897.5247185858007,1916.532661564353,1852.871750813586,1916.532661564353,23.69645881652832,57620.88516419582,1081376,nan,1916.532661564353
57620.90998862,57620.905596401964,1959.5794169788337,131131,0.0692605972290039,1708.211690771794,1097.2288552758134,2188.755336477659,2208.1382175138624,2140.155584822023,2208.1382175138624,23.701990127563477,57620.905596401964,1048576,-0.01371058914810419,2208.1382175138624
57620.93042232,57620.92602880862,2032.84090337711,131132,0.5321488380432129,1882.9996816799826,1096.8238137126607,2188.73082182888,2204.0782752224773,2153.3202688773563,2204.0782752224773,23.707534790039062,57620.92602880862,0,0.01674192026257515,2204.0782752224773
57620.950855920004,57620.946461115804,2031.076308912856,131133,0.5078771710395813,1881.821814719129,1096.8445455898739,2189.078726103446,2204.712906072491,2152.956351638424,2204.712906072491,23.71309471130371,57620.946461115804,0,0.01645471341907978,2204.712906072491
57620.97128942,57620.9668933235,2031.529571254754,131134,0.48153743147850037,1882.905976951387,1096.8714675737453,2190.625061007,2206.4367651751995,2154.2841507493786,2206.4367651751995,23.71866798400879,57620.9668933235,0,0.013188540935516357,2206.4367651751995
57620.99172312,57620.98732573171,2034.7131108714516,131135,0.422365665435791,1886.150590983337,1096.9197888363713,2195.9485552551605,2211.8142331423114,2159.406202735344,2211.8142331423114,23.724254608154297,57620.98732573171,0,0.010840574279427528,2211.8142331423114
57621.01215672,57621.00775804044,2032.165802470679,131136,0.39365458488464355,1881.9448470034336,1096.9450715869068,2193.066736492171,2208.5127262883284,2157.061365477275,2208.5127262883284,23.729854583740234,57621.00775804044,0,0.009278097189962864,2208.5127262883284
57621.03259022,57621.02819024969,2026.8429487144697,131137,0.36822301149368286,1868.5171291161041,1096.9663641335644,2193.0555417799123,2209.302363657874,2155.913781313582,2209.302363657874,23.735469818115234,57621.02819024969,0,0.009275661781430244,2209.302363657874
57621.05302392,57621.04862265946,2016.134530513031,131138,0.3031105399131775,1841.3655354515868,1097.0152823540072,2189.8219311493435,2205.8034980871134,2151.8754459745646,2205.8034980871134,23.741098403930664,57621.04862265946,0,0.006084748078137636,2205.8034980871134
