MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX,CAD
57292.74642402,57292.74095848777,153.13606865400163,115071,0.31886428594589233,82.17321706188125,854.863654433332,256.23001302353066,321.36296493427517,204.74554164138578,321.36296493427517,92.75563480543053,57292.74095848777,0,0.06733408570289612,321.36296493427517,115071
57292.76685772,57292.76139153569,151.8049034942519,115072,0.34336355328559875,81.2368006216924,854.8718020708072,255.53678018133212,320.2033350836888,203.8104062828474,320.2033350836888,92.7975437330163,57292.76139153569,0,0.06713826954364777,320.2033350836888,115072
57292.78729122,57292.781824384285,147.37043951560344,115073,0.3800842761993408,79.53422326551032,854.8711837239904,250.85373060252846,316.7902383813117,198.79118382791694,316.7902383813117,92.8372514144234,57292.781824384285,0,0.0695873573422432,316.7902383813117,115073
57292.80772492,57292.802257433534,145.54745236152922,115074,0.40036147832870483,77.907353375132,854.874155444282,249.89568080797358,316.20001597747626,197.38542357771365,316.20001597747626,92.87238510795261,57292.802257433534,0,0.06815443187952042,316.20001597747626,115074
57292.82815852,57292.82269038346,159.23767350992608,115075,0.43738818168640137,87.83136546093488,854.8752699594957,261.61233771746754,323.67749895623945,212.65875350502932,323.67749895623945,92.90614517875339,57292.82269038346,0,0.0685611292719841,323.67749895623945,115075
57292.848592020004,57292.843123234044,158.23069585053094,115076,0.46201738715171814,87.56255096974581,854.8772734036687,259.84578186549334,322.9634014161376,210.90337589574722,322.9634014161376,92.94691931683084,57292.843123234044,0,0.06639904528856277,322.9634014161376,115076
57292.86902572,57292.86355628529,157.2558210027334,115077,0.4950980842113495,86.4625820906266,854.8767936296891,260.41192979382095,323.4998246773972,210.8912646074764,323.4998246773972,92.98502383024797,57292.86355628529,0,0.06461723148822784,323.4998246773972,115077
57292.88945932,57292.8839892372,153.3525521694312,115078,0.526244580745697,83.81034420884174,854.8771959810723,257.4807250263656,321.6708171430678,207.22437916892164,321.6708171430678,93.02323548690133,57292.8839892372,0,0.0646597146987915,321.6708171430678,115078
57292.90989282,57292.90442208977,148.9978108455993,115079,0.37287890911102295,79.89783139984871,854.8638804685922,252.2981136554513,318.01630266122913,200.47049550717003,318.01630266122913,93.0596867436948,57292.90442208977,1048576,0.06207486614584923,318.01630266122913,115079
57292.93032652,57292.924855143014,151.06856893766593,115080,0.3790612518787384,81.44452398295914,854.867199584866,255.20466696194,320.19457769343546,203.12457860886855,320.19457769343546,93.09518399445906,57292.924855143014,0,0.06446812301874161,320.19457769343546,115080
57292.95076012,57292.945288096926,146.3701242117524,115081,0.40083155035972595,78.49114324907049,854.8706149850898,249.68611283670452,315.7404329320078,197.76628307951182,315.7404329320078,93.13118279498556,57292.945288096926,0,0.06556038558483124,315.7404329320078,115081
57292.97119382,57292.965721151486,143.24936579114075,115082,0.4383612275123596,76.63971694230628,854.8690554411846,247.74362722443527,313.99327953186696,194.96026194873536,313.99327953186696,93.16553961712381,57292.965721151486,0,0.06712281703948975,313.99327953186696,115082
57292.99162732,57292.98615400673,157.8614674493436,115083,0.4616186320781708,86.59852415582407,854.8769192401786,260.8631066017547,323.4756730637316,211.52165225827167,323.4756730637316,93.19840903904127,57292.98615400673,0,0.06642306596040726,323.4756730637316,115083
57293.01206092,57293.00658696263,155.4652738686762,115084,0.5019448399543762,85.42348469858581,854.8794472399475,259.98887542633304,323.33467932301926,209.83116261853286,323.33467932301926,93.23108838952106,57293.00658696263,0,0.06782851368188858,323.33467932301926,115084
57293.03249462,57293.02702001919,152.28985615530598,115085,0.5260986089706421,83.27924506560618,854.8774478107389,256.13826896064916,320.23948095082494,205.99209044846026,320.23948095082494,93.2651722120202,57293.02702001919,0,0.06892360001802444,320.23948095082494,115085
57293.05292812,57293.047452876424,151.3869994454928,115086,0.5644904375076294,82.44997244295865,854.878160918775,255.65350962974458,319.1980138772309,205.4937694090761,319.1980138772309,93.2976714424465,57293.047452876424,0,0.06800881028175354,319.1980138772309,115086
57293.07336172,57293.067885834316,147.56480483810094,115087,0.5962179899215698,80.45090237907743,854.883047232602,252.54372949770925,318.14715702174703,201.58719973924008,318.14715702174703,93.32975138788638,57293.067885834316,0,0.07032807171344757,318.14715702174703,115087
57293.09379542,57293.08831889287,146.55429833826997,115088,0.6210800409317017,80.06281607047373,854.8803767993236,250.84762504678997,315.01176057973737,200.46007096380987,315.01176057973737,93.36294290293817,57293.08831889287,0,0.06780470907688141,315.01176057973737,115088
57293.11422892,57293.1087517521,143.7241754140166,115089,0.6634221076965332,78.91770319316697,854.8799002698141,246.94212952301245,313.0660249564238,196.42078561897898,313.0660249564238,93.39617853579314,57293.1087517521,0,0.07118460536003113,313.0660249564238,115089
57293.13466262,57293.129184811994,128.1353954990342,115090,0.6926652193069458,71.8234274247007,854.8708476391142,226.99382808664257,297.33433705550556,175.55045290900023,297.33433705550556,93.42675648564878,57293.129184811994,0,0.07166437059640884,297.33433705550556,115090
57293.15509612,57293.14961767255,173.65988977151216,115091,0.0317242406308651,95.47663375695436,854.8506998372511,269.6911756682067,329.7189630940686,223.43223641258993,329.7189630940686,93.45757957126783,57293.14961767255,1048576,0.060159679502248764,329.7189630940686,115091
57293.17552972,57293.17005063377,179.16768100125194,115092,-0.06968958675861359,97.89741972277949,854.8418657016188,273.5597881961213,332.3587194053397,228.64696978633816,332.3587194053397,93.48709040102752,57293.17005063377,0,0.05556244030594826,332.3587194053397,115092
57293.19596342,57293.19048369566,179.094243585401,115093,-0.0386732742190361,97.44422865151893,854.8451186214533,274.28318723129667,333.0497477669809,229.04040290958312,333.0497477669809,93.51605058752972,57293.19048369566,0,0.055860333144664764,333.0497477669809,115093
57293.21639692,57293.210916558215,176.72962616764204,115094,-0.014138131402432919,95.69137669976567,854.8482322955125,272.626055712827,331.37590518207423,226.9102150095091,331.37590518207423,93.54418646770975,57293.210916558215,0,0.05653996393084526,331.37590518207423,115094
57293.23683052,57293.23134952144,175.2979567834775,115095,0.019605988636612892,95.38156397721065,854.8457290773473,270.729695514945,329.82351382428305,225.09378375345455,329.82351382428305,93.57164001464844,57293.23134952144,0,0.05707655847072601,329.82351382428305,115095
57293.25726422,57293.25178258532,173.6175431478564,115096,0.05125639587640762,93.65318696088775,854.8513733187743,270.13121783355234,329.6840646676137,223.88793551082074,329.6840646676137,93.6012082307235,57293.25178258532,0,0.059195127338171005,329.6840646676137,115096
57293.27769772,57293.27221544987,170.52018176635124,115097,0.07611145079135895,91.44999008266723,854.8546032092496,267.91284342731774,328.38470990141263,220.95302211608362,328.38470990141263,93.6347307951554,57293.27221544987,0,0.06283401697874069,328.38470990141263,115097
57293.29813142,57293.29264851509,168.40698465844798,115098,0.10953880846500397,90.35482556275122,854.8511824818468,266.5245084441069,327.3477371920385,219.0561480703168,327.3477371920385,93.67151210619056,57293.29264851509,0,0.0636313334107399,327.3477371920385,115098
57293.31856502,57293.31308148098,166.4545751928962,115099,0.13106180727481842,89.17513291873792,854.8561471751146,264.5573660831602,326.0466855537852,216.95008852965702,326.0466855537852,93.7019391267196,57293.31308148098,0,0.06517890840768814,326.0466855537852,115099
57293.33899862,57293.33351444752,163.36024007964835,115100,0.1690240204334259,86.63953157924004,854.8570072553574,263.2081798953893,325.13210633987376,214.4514694782739,325.13210633987376,93.7330153092094,57293.33351444752,0,0.06533306837081909,325.13210633987376,115100
57293.35943222,57293.35394741474,163.0161432306433,115101,0.18912369012832642,87.44281748863443,854.8564996759378,262.7045131344447,324.98951568757695,213.9594719875468,324.98951568757695,93.76434525199558,57293.35394741474,0,0.06751206517219543,324.98951568757695,115101
57293.37986582,57293.37438038263,159.13458036075957,115102,0.22145822644233704,84.49422013692634,854.8587851038093,259.7380385215549,321.73424827441977,210.38449558417295,321.73424827441977,93.79707104226817,57293.37438038263,0,0.06764306873083115,321.73424827441977,115102
57293.40029942,57293.39481335117,150.3293140313823,115103,nan,82.91443924307117,854.7950438759619,233.3253830802813,290.67832570484495,192.77556840292965,290.67832570484495,93.82993382992952,57293.39481335117,1081376,nan,290.67832570484495,115103
57293.42073302,57293.41524632039,150.45645683998998,115104,0.3296624720096588,80.59109472231506,854.861842776113,252.47940977143276,316.9412511488663,201.50891822874001,316.9412511488663,93.86416261092477,57293.41524632039,0,0.0692104697227478,316.9412511488663,115104
