EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
214770551,284.3718262,-25.6842651,7.87,,,322-197389,18572922-2541035,63,82,288,,,7.87,6.998,6.525,,,,,,,
219379854,286.0180969,-16.8916397,7.873,,6287-1007-1,366-160286,,52,566,229,9.923,8.228,,,,,,,,,,
215354507,281.8151855,-24.3943367,7.874,,,329-172129,18471564-2423396,77,374,914,,,7.874,6.867,6.354,,,,,,,
215238770,282.5484009,-24.639185,7.875,,6863-351-1,327-172093,18501162-2438210,77,772,406,9.172,8.072,5.851,5.315,5.115,,,,,,,
213332010,287.6742554,-29.8136673,7.878,94202,6886-1244-1,301-257631,19104183-2948490,55,659,813,8.589,7.987,6.945,6.705,6.632,6291,4.17,-0.056,1.455,1.218,75.02,0.025
215646622,280.4796143,-23.8081169,7.878,,,331-178376,18415510-2348291,83,110,355,,,7.878,6.911,6.486,,,,,,,
215983292,295.506012,-23.1770115,7.88,,,335-207323,19420143-2310370,3,739,259,,,7.88,7.061,6.578,,,,,,,
219487233,286.3677673,-16.6300106,7.889,,,367-157055,19052826-1637479,52,201,106,,,7.889,7.136,6.663,,,,,,,
219735646,289.4171753,-15.9649038,7.892,,,371-165734,19174012-1557535,32,83,453,8.153,7.877,7.287,7.175,7.18,,,,,,,
216560703,280.2143555,-22.1289463,7.894,,,340-165010,18405144-2207441,84,600,600,,,7.894,6.917,6.596,,,,,,,
219394860,285.525116,-16.8554668,7.898,93464,6282-92-1,366-159354,19020603-1651197,52,958,56,9.042,8.064,6.255,5.749,5.636,,,,,,,
216007894,282.1751404,-23.1314411,7.9,,,,18484203-2307531,82,268,283,,,7.9,6.849,6.248,,,,,,,
213569922,292.2245789,-28.9699974,7.9,95782,6888-575-1,306-272087,19285390-2858119,16,35,234,8.061,7.857,7.487,7.425,7.385,,,,,,,
215975674,287.3946228,-23.190979,7.907,94122,6874-882-1,335-198510,19093470-2311274,41,827,811,7.818,7.796,7.659,7.669,7.656,10449,3.756,0.056,3.873,3.172,423.7,0.118
215247426,284.1797485,-24.6207275,7.913,92994,6864-966-1,327-175027,18564313-2437146,63,1044,449,8.658,7.536,5.472,4.954,4.778,,,,,,,
213971386,282.0920715,-27.7359066,7.914,,,312-231473,18482210-2744092,76,747,536,,,7.914,6.953,6.534,,,,,,,
214319626,283.6143799,-26.7929211,7.915,,,317-212905,18542745-2647346,73,319,195,,,7.915,7.013,6.483,,,,,,,
215390079,281.8803406,-24.3199291,7.918,92206,6859-1199-1,329-172276,18473128-2419116,77,327,842,9.445,8.164,5.981,5.387,5.213,,,,,,,
213880706,290.153656,-27.9994087,7.919,95075,6883-930-1,311-248627,,34,821,501,10.441,8.847,,,,,,,,,,
216847714,280.1916199,-21.6177311,7.922,,,342-161223,18404598-2137037,84,153,716,,,7.922,6.863,6.406,,,,,,,
214115462,283.0472717,-27.3370934,7.924,,,314-224791,18521134-2720133,73,645,785,,,7.924,7.084,6.592,,,,,,,
